Category: All categories

Week,Clinical depression: (United Kingdom)
2011-01-02,73
2011-01-09,74
2011-01-16,69
2011-01-23,67
2011-01-30,69
2011-02-06,70
2011-02-13,69
2011-02-20,61
2011-02-27,67
2011-03-06,72
2011-03-13,66
2011-03-20,73
2011-03-27,75
2011-04-03,69
2011-04-10,72
2011-04-17,70
2011-04-24,69
2011-05-01,65
2011-05-08,71
2011-05-15,72
2011-05-22,66
2011-05-29,63
2011-06-05,68
2011-06-12,63
2011-06-19,68
2011-06-26,58
2011-07-03,58
2011-07-10,54
2011-07-17,61
2011-07-24,60
2011-07-31,60
2011-08-07,56
2011-08-14,62
2011-08-21,60
2011-08-28,55
2011-09-04,61
2011-09-11,58
2011-09-18,62
2011-09-25,67
2011-10-02,67
2011-10-09,73
2011-10-16,65
2011-10-23,63
2011-10-30,72
2011-11-06,70
2011-11-13,79
2011-11-20,74
2011-11-27,100
2011-12-04,77
2011-12-11,79
2011-12-18,62
2011-12-25,63
