Category: All categories

Week,Clinical depression: (United Kingdom),Week,Clinical depression: (United Kingdom)
2014-01-05,78,2013-01-06,64
2014-01-12,72,2013-01-13,59
2014-01-19,77,2013-01-20,60
2014-01-26,67,2013-01-27,62
2014-02-02,71,2013-02-03,68
2014-02-09,68,2013-02-10,57
2014-02-16,73,2013-02-17,63
2014-02-23,76,2013-02-24,72
2014-03-02,72,2013-03-03,70
2014-03-09,67,2013-03-10,73
2014-03-16,71,2013-03-17,73
2014-03-23,68,2013-03-24,67
2014-03-30,69,2013-03-31,62
2014-04-06,68,2013-04-07,68
2014-04-13,59,2013-04-14,61
2014-04-20,70,2013-04-21,69
2014-04-27,74,2013-04-28,61
2014-05-04,67,2013-05-05,64
2014-05-11,67,2013-05-12,71
2014-05-18,62,2013-05-19,63
2014-05-25,59,2013-05-26,58
2014-06-01,62,2013-06-02,61
2014-06-08,60,2013-06-09,62
2014-06-15,57,2013-06-16,64
2014-06-22,57,2013-06-23,61
2014-06-29,53,2013-06-30,62
2014-07-06,60,2013-07-07,60
2014-07-13,59,2013-07-14,55
2014-07-20,54,2013-07-21,58
2014-07-27,55,2013-07-28,56
2014-08-03,54,2013-08-04,61
2014-08-10,100,2013-08-11,63
2014-08-17,75,2013-08-18,58
2014-08-24,64,2013-08-25,58
2014-08-31,64,2013-09-01,58
2014-09-07,63,2013-09-08,59
2014-09-14,65,2013-09-15,57
2014-09-21,66,2013-09-22,60
2014-09-28,68,2013-09-29,68
2014-10-05,71,2013-10-06,69
2014-10-12,75,2013-10-13,63
2014-10-19,73,2013-10-20,65
2014-10-26,69,2013-10-27,59
2014-11-02,76,2013-11-03,66
2014-11-09,75,2013-11-10,67
2014-11-16,79,2013-11-17,67
2014-11-23,78,2013-11-24,69
2014-11-30,74,2013-12-01,67
2014-12-07,74,2013-12-08,71
2014-12-14,68,2013-12-15,61
2014-12-21,61,2013-12-22,45
2014-12-28,71,2013-12-29,71
