Category: All categories

Week,Clinical depression: (United Kingdom)
2020-01-05,91
2020-01-12,90
2020-01-19,93
2020-01-26,91
2020-02-02,93
2020-02-09,90
2020-02-16,100
2020-02-23,95
2020-03-01,95
2020-03-08,82
2020-03-15,59
2020-03-22,50
2020-03-29,58
2020-04-05,59
2020-04-12,64
2020-04-19,68
2020-04-26,70
2020-05-03,74
2020-05-10,70
2020-05-17,79
2020-05-24,70
2020-05-31,68
2020-06-07,73
2020-06-14,83
2020-06-21,73
2020-06-28,77
2020-07-05,77
2020-07-12,78
2020-07-19,79
2020-07-26,72
2020-08-02,72
2020-08-09,69
2020-08-16,76
2020-08-23,72
2020-08-30,72
2020-09-06,77
2020-09-13,70
2020-09-20,71
2020-09-27,77
2020-10-04,78
2020-10-11,85
2020-10-18,81
2020-10-25,72
2020-11-01,81
2020-11-08,84
2020-11-15,82
2020-11-22,78
2020-11-29,77
2020-12-06,77
2020-12-13,71
2020-12-20,61
2020-12-27,73
