Category: All categories

Week,Clinical depression: (United Kingdom),Week,Clinical depression: (United Kingdom)
2014-01-05,78,2016-01-03,80
2014-01-12,72,2016-01-10,72
2014-01-19,77,2016-01-17,75
2014-01-26,67,2016-01-24,78
2014-02-02,71,2016-01-31,81
2014-02-09,68,2016-02-07,79
2014-02-16,73,2016-02-14,81
2014-02-23,76,2016-02-21,81
2014-03-02,72,2016-02-28,77
2014-03-09,67,2016-03-06,80
2014-03-16,71,2016-03-13,81
2014-03-23,68,2016-03-20,73
2014-03-30,69,2016-03-27,73
2014-04-06,68,2016-04-03,74
2014-04-13,59,2016-04-10,80
2014-04-20,70,2016-04-17,79
2014-04-27,74,2016-04-24,75
2014-05-04,67,2016-05-01,72
2014-05-11,67,2016-05-08,71
2014-05-18,62,2016-05-15,74
2014-05-25,59,2016-05-22,67
2014-06-01,62,2016-05-29,62
2014-06-08,60,2016-06-05,64
2014-06-15,57,2016-06-12,66
2014-06-22,57,2016-06-19,62
2014-06-29,53,2016-06-26,58
2014-07-06,60,2016-07-03,62
2014-07-13,59,2016-07-10,64
2014-07-20,54,2016-07-17,60
2014-07-27,55,2016-07-24,61
2014-08-03,54,2016-07-31,60
2014-08-10,100,2016-08-07,59
2014-08-17,75,2016-08-14,58
2014-08-24,64,2016-08-21,62
2014-08-31,64,2016-08-28,62
2014-09-07,63,2016-09-04,71
2014-09-14,65,2016-09-11,71
2014-09-21,66,2016-09-18,73
2014-09-28,68,2016-09-25,71
2014-10-05,71,2016-10-02,69
2014-10-12,75,2016-10-09,84
2014-10-19,73,2016-10-16,76
2014-10-26,69,2016-10-23,74
2014-11-02,76,2016-10-30,80
2014-11-09,75,2016-11-06,73
2014-11-16,79,2016-11-13,77
2014-11-23,78,2016-11-20,72
2014-11-30,74,2016-11-27,73
2014-12-07,74,2016-12-04,71
2014-12-14,68,2016-12-11,70
2014-12-21,61,2016-12-18,59
2014-12-28,71,2016-12-25,62
