Category: All categories

Week,Clinical depression: (United Kingdom),Week,Clinical depression: (United Kingdom)
2014-01-05,78,2009-01-04,51
2014-01-12,72,2009-01-11,51
2014-01-19,77,2009-01-18,56
2014-01-26,67,2009-01-25,47
2014-02-02,71,2009-02-01,44
2014-02-09,68,2009-02-08,52
2014-02-16,73,2009-02-15,48
2014-02-23,76,2009-02-22,56
2014-03-02,72,2009-03-01,51
2014-03-09,67,2009-03-08,53
2014-03-16,71,2009-03-15,56
2014-03-23,68,2009-03-22,51
2014-03-30,69,2009-03-29,52
2014-04-06,68,2009-04-05,49
2014-04-13,59,2009-04-12,50
2014-04-20,70,2009-04-19,50
2014-04-27,74,2009-04-26,47
2014-05-04,67,2009-05-03,52
2014-05-11,67,2009-05-10,43
2014-05-18,62,2009-05-17,53
2014-05-25,59,2009-05-24,50
2014-06-01,62,2009-05-31,47
2014-06-08,60,2009-06-07,48
2014-06-15,57,2009-06-14,50
2014-06-22,57,2009-06-21,42
2014-06-29,53,2009-06-28,43
2014-07-06,60,2009-07-05,45
2014-07-13,59,2009-07-12,38
2014-07-20,54,2009-07-19,48
2014-07-27,55,2009-07-26,42
2014-08-03,54,2009-08-02,43
2014-08-10,100,2009-08-09,43
2014-08-17,75,2009-08-16,43
2014-08-24,64,2009-08-23,43
2014-08-31,64,2009-08-30,37
2014-09-07,63,2009-09-06,41
2014-09-14,65,2009-09-13,40
2014-09-21,66,2009-09-20,43
2014-09-28,68,2009-09-27,50
2014-10-05,71,2009-10-04,49
2014-10-12,75,2009-10-11,55
2014-10-19,73,2009-10-18,49
2014-10-26,69,2009-10-25,48
2014-11-02,76,2009-11-01,50
2014-11-09,75,2009-11-08,50
2014-11-16,79,2009-11-15,51
2014-11-23,78,2009-11-22,54
2014-11-30,74,2009-11-29,49
2014-12-07,74,2009-12-06,51
2014-12-14,68,2009-12-13,47
2014-12-21,61,2009-12-20,39
2014-12-28,71,2009-12-27,45
