Category: All categories

Week,Clinical depression: (United Kingdom),Week,Clinical depression: (United Kingdom)
2014-01-05,78,2015-01-04,81
2014-01-12,72,2015-01-11,73
2014-01-19,77,2015-01-18,77
2014-01-26,67,2015-01-25,84
2014-02-02,71,2015-02-01,85
2014-02-09,68,2015-02-08,79
2014-02-16,73,2015-02-15,77
2014-02-23,76,2015-02-22,80
2014-03-02,72,2015-03-01,84
2014-03-09,67,2015-03-08,79
2014-03-16,71,2015-03-15,79
2014-03-23,68,2015-03-22,83
2014-03-30,69,2015-03-29,79
2014-04-06,68,2015-04-05,74
2014-04-13,59,2015-04-12,77
2014-04-20,70,2015-04-19,75
2014-04-27,74,2015-04-26,73
2014-05-04,67,2015-05-03,68
2014-05-11,67,2015-05-10,76
2014-05-18,62,2015-05-17,77
2014-05-25,59,2015-05-24,66
2014-06-01,62,2015-05-31,67
2014-06-08,60,2015-06-07,68
2014-06-15,57,2015-06-14,65
2014-06-22,57,2015-06-21,68
2014-06-29,53,2015-06-28,58
2014-07-06,60,2015-07-05,71
2014-07-13,59,2015-07-12,64
2014-07-20,54,2015-07-19,67
2014-07-27,55,2015-07-26,60
2014-08-03,54,2015-08-02,62
2014-08-10,100,2015-08-09,65
2014-08-17,75,2015-08-16,65
2014-08-24,64,2015-08-23,64
2014-08-31,64,2015-08-30,68
2014-09-07,63,2015-09-06,66
2014-09-14,65,2015-09-13,66
2014-09-21,66,2015-09-20,67
2014-09-28,68,2015-09-27,70
2014-10-05,71,2015-10-04,76
2014-10-12,75,2015-10-11,75
2014-10-19,73,2015-10-18,79
2014-10-26,69,2015-10-25,75
2014-11-02,76,2015-11-01,83
2014-11-09,75,2015-11-08,80
2014-11-16,79,2015-11-15,76
2014-11-23,78,2015-11-22,70
2014-11-30,74,2015-11-29,72
2014-12-07,74,2015-12-06,80
2014-12-14,68,2015-12-13,73
2014-12-21,61,2015-12-20,59
2014-12-28,71,2015-12-27,74
